Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,22,52.29,55.03,57.82,84.22,74.06,3.99,85.9,6.2,Medium,5,4.7
Male,18,97.27,97.23,45.8,,94.24,8.32,55.65,19,Medium,4,9
Male,24,57.19,67.05,93.68,67.7,85.7,5.05,73.79,20.7,Low,6,6.2
Female,24,95.15,47.79,80.63,66.06,93.51,6.54,92.12,24.8,High,3,6.7
Female,23,54.18,46.59,78.89,96.85,83.7,5.97,68.42,15.4,High,2,7.1
Male,21,,78.85,43.53,71.4,52.2,6.38,67.29,8.5,High,1,5
Male,24,57.6,66.26,89.07,84.52,98.4,2.3,93.65,21.3,Low,5,6.4
Male,19,51.91,45.67,73.96,80.12,95.9,3.73,93.24,27.3,Medium,4,4.3
Female,21,85.97,84.42,90.87,57.05,56.33,0.51,94.01,8,Low,9,8.8
Female,22,64.01,87.96,98.47,96.98,55.63,5.88,78.6,9.6,Medium,10,6.4
Female,23,85.72,83.52,97.43,67.29,76.95,4.59,97.62,13.2,Low,1,4.1
Female,20,77.75,52.14,91.37,52.24,87.85,7.61,90.95,21.3,Low,9,7
Male,21,55.44,81.39,40.66,65.02,69.11,2.06,70.78,18.1,High,8,4.5
Male,18,96.61,40.64,93.14,66.78,56.82,4.37,81.48,22.8,Medium,10,7.9
Male,19,72.62,58.31,44.5,54.64,75.53,1.81,56.09,5.8,Low,4,8.8
Male,18,86.72,63.93,91.07,81,66.88,6.14,77.57,25.3,High,2,8.6
Female,21,75.05,90.11,56.81,67.34,67.59,8.48,63.16,29.7,Low,3,6.1
Female,23,80.22,63.42,76.6,81.46,82.25,7.65,64.18,6.2,Medium,10,7.6
Male,20,65.14,40.68,42.28,50.34,94.28,9.44,56.29,17.4,Medium,9,4.8
Male,20,60.02,61.14,86.27,99.1,77.93,9.72,67.91,23.5,Low,10,4.4
Male,18,77.13,69.94,46.7,,84.38,7.72,74.07,16.9,Medium,2,8.1
Male,22,72.01,96.94,64.64,82.97,83,2.87,80.02,19.8,Low,8,7.5
Male,22,69.51,96.46,89.05,85.79,77.56,2.19,65.24,28,Low,10,8.5
Female,23,83.63,50.85,81.72,58.58,65.54,4.48,89.61,18.5,Low,1,8.6
Female,20,84.53,51.11,40.36,55.59,68.89,9.94,76.05,10.9,Low,4,5.7
Male,18,52.3,49.8,64.18,57.63,65.79,4.13,81.9,23.5,High,3,5.6
Male,18,66.94,87.34,42.52,62.34,95.87,1.99,63.91,14.4,Low,10,6.2
Male,18,70.59,40.36,80.41,58.41,91.33,9.44,90.71,12.1,Medium,2,7.3
Female,21,54.84,47.63,98.14,83.7,78.97,3.86,81.21,11.2,Low,3,4
Female,23,61.8,72.28,79.32,71.04,95.61,6.91,93.12,7,High,3,6.7
Female,22,52.58,54.85,53.46,76.89,94.32,7.88,58,28.3,Medium,9,4.1
Male,22,99.81,45.54,61.31,52.37,96.38,8.43,69.03,19.1,Low,3,6.3
Female,21,,61.59,98.6,93.06,61.09,8.21,55.65,28.9,Medium,9,4.4
Male,19,54.37,56.45,53.44,58.53,85.88,8.36,60.78,26.5,Low,4,6.8
Female,21,51.01,70.67,73.69,68.01,80.46,6.68,69.73,5.8,Low,1,5.6
Female,23,85.96,98.75,64.03,53.6,86.69,4.04,94.73,11.2,Medium,8,6.4
Female,18,71.96,47.46,86.1,56.84,63.17,6.67,77.85,12.9,Low,10,8.8
Male,21,89.34,62.36,92.04,83.29,84.74,8.37,66.52,17.2,Low,5,5.7
Male,18,96.17,95.92,60.45,84.63,70.49,3.51,87.34,22.9,Medium,2,7.6
Female,23,79.97,92.61,79.62,83.85,91.7,2.97,50.98,22,Low,9,7.4
Male,24,59.36,63.66,72.94,77.61,89.77,3.44,68.5,29.7,Low,7,8.3
Male,23,89.11,81.94,56.71,97.63,60.57,5.51,80.04,28.1,Medium,6,5.7
Male,20,97.79,45.27,56.32,75.36,59.19,0.52,79.16,9.7,Low,2,4.3
Male,18,79.01,82.75,72.32,72.47,85.89,7.79,80.38,26.5,High,6,8.9
Male,22,84.1,98.37,49.24,62.38,77.52,1.39,60.58,26.1,Medium,7,5.8
Male,21,66.87,72.25,88.65,54.94,77.86,1.33,66.85,19.4,Low,5,5
Male,24,,69.91,44.14,77.41,87.63,1.98,96.58,13.5,Low,5,8.6
Female,23,86.73,51.24,45.67,65.74,92.75,5.77,98.7,10.2,High,4,5
Male,18,96.39,78.03,60.53,76.2,61.95,2.86,65.6,10.3,Medium,10,6.6
Male,24,81.45,75.43,47.09,60.31,77.78,3.68,82.23,13.4,Low,1,7.8
Female,19,89.49,79.12,68.54,91.91,91.45,9.32,62.06,17.6,Low,10,7.7
Female,20,58.58,41.56,63.98,99.98,93.64,8.47,68.43,19.6,Medium,7,4.1
Female,19,60.6,72.92,83.31,66.12,64.37,8.52,89.62,13.1,Low,3,5
Female,23,76.6,75.7,97.18,92.12,55.21,5.78,75.06,13.9,Medium,5,8.4
Male,19,,52.45,85.21,93.65,61.64,8.66,92.48,5.3,Medium,8,6.8
Female,19,81.75,52.5,50.77,,97.27,7.79,81.44,5.1,Medium,2,7.4
Female,20,64.58,56.57,96.13,67.14,73.12,9.53,81.45,27.7,Low,4,6
Male,20,89.58,82.7,63.53,87.8,70.93,0.64,51.69,5.4,Low,9,7.7
Male,20,90.41,76.38,68.45,61.44,50.65,0.29,87.48,5.8,High,2,5.4
Male,24,73.19,90.75,65.29,81.24,52.55,1.75,98.89,10.1,Medium,8,5.2
Female,20,59.04,57.74,56.83,85.24,83.43,9.29,73.65,23.6,Low,9,9
Male,19,82.34,94.72,93.7,,79.49,6.06,57.93,22,Low,3,4.8
Female,22,99.64,84.62,59.93,60.36,78.78,4.26,98.85,21.2,Medium,5,8.9
Male,22,81.13,63.7,74.72,92.44,55.52,5.13,64.51,19.4,Medium,4,8.6
Male,20,51.79,45.72,54.4,71.05,67.6,8.3,70.46,10,Low,10,7.6
Female,24,50.86,55.42,87.84,60.82,90.62,9.29,53.87,14.9,High,10,6.9
Male,21,66.02,97.41,86.45,77.13,58.75,7.3,55.54,17,Low,8,4
Male,18,59.79,58.62,57.78,93.17,94.13,7.6,60.83,19.6,Low,8,7.2
Male,23,90.65,59.79,80.89,98.35,56.07,3.2,77.42,10,Low,5,7.9
Male,24,92.24,51.38,82.23,87.41,58.46,4.67,77.89,23.2,High,5,7.7
Male,21,62.93,88.41,73.75,50.28,73.89,8.85,80.31,12.7,High,1,4.9
Female,23,66.28,56.54,76.04,56.74,97.26,7.86,79.19,21.5,Low,5,6.7
Female,21,61.81,59.82,74.47,53.81,66.48,6.84,74.76,17.8,Low,1,6.8
Male,21,95.42,64.86,44.91,55.06,82.91,0.65,90.1,19.8,High,4,7.3
Female,22,75.13,66.02,80.22,69.15,79.43,0.4,96.69,15.3,Low,7,8.2
Female,18,82.81,64.68,68.19,66.92,57.48,1.3,63.49,16.1,Low,2,7.5
Female,21,70.77,70.22,66.31,,62.41,5.81,56.51,26.7,High,1,4.7
Male,20,81.55,88.87,91.6,94.11,96.51,5.36,71.25,16.9,High,2,4.1
Male,23,69.29,89.16,41.39,80.77,59.24,9.43,51.32,24.8,Medium,7,4.7
Male,24,66.98,87.9,55.08,,84.75,6.95,94.17,14.9,Low,3,4.2
Female,22,81.72,46.07,47.28,,98.23,2.94,61.99,22.5,High,5,6.2
Female,23,,87.98,42.12,70.51,55.98,1.61,77.46,10.8,Low,1,5.4
Male,20,,47.22,56.54,65.88,69.96,8.5,55.75,27.9,Low,10,4
Male,20,57.47,47.48,99.31,71.92,61.2,4.6,77.66,29.2,Medium,10,4.4
Female,21,68.43,96.87,56.21,80.52,61.08,6.53,51.95,27.5,High,10,6
Female,20,70.76,89.16,79.82,74.65,55.95,5.65,88.44,13.7,Low,8,8.7
Male,18,81.43,73.14,47.1,91.9,82.48,1.07,97.77,11.9,Medium,4,9
Female,20,95.73,92.5,76.11,95.01,87.32,0.57,65.35,9.6,Medium,10,4.3
Female,21,,99.36,99.07,73.48,83.84,3.77,62.91,26.8,High,2,8.2
Female,23,,76.64,57.51,61.99,96.23,3.62,72.4,8,Medium,8,6.4
Female,20,59.69,76.77,90.88,97.26,57.28,6.74,81,21.1,Medium,10,7.1
Female,22,75.11,85.27,99.85,86.75,65.99,6.32,59.45,13.3,Medium,5,6.5
Female,24,71.49,53.93,75.31,82.01,67.23,9.69,90.17,9.7,Medium,2,8.6
Female,22,86.45,50.03,58.56,87.27,61.6,8.58,59.93,9.6,Low,9,6.4
Male,22,,85.57,80.41,,57.11,4.97,50.27,26.8,High,6,4.8
Male,23,79.72,60.69,90.69,53.38,74.34,5,76.21,26.5,Medium,8,7.9
Female,19,94.19,48.1,50.28,57.66,91.72,6.74,55.76,11.8,Medium,2,6.6
Female,24,95.53,58.89,67.15,57.37,97.73,1.14,84.91,5.8,Medium,5,4.6
Female,22,97.94,61.52,59.15,71.03,56.47,10,58.37,26.7,Low,3,6.3
Male,22,88.66,97.91,57,57.87,91.16,5.19,90.87,6.4,Medium,8,7.4
Male,19,95.3,81.88,91.65,92.73,91.23,9.1,73.52,7.1,Medium,1,5.5
Female,23,61.73,71.85,65.3,78.9,69.45,9.67,78.31,25.5,Low,9,8.6
Male,24,59.88,98.13,60.34,68.41,55.5,5.82,59.33,25.4,Low,6,8.2
Female,22,50.32,94.19,76.21,53.48,99.5,1.03,57.33,10.1,Medium,1,6.8
Female,21,85.34,70.72,53.16,79.55,82.78,5.73,81.56,6,Medium,3,4.3
Female,23,96.87,94.34,53.79,55.83,99.11,5.98,62.77,6.6,High,8,6.9
Female,24,59.35,64.26,71.22,87.16,74.18,7.89,69.3,16.3,Medium,8,6.1
Female,22,81.85,53.83,64.56,90.14,69.76,0.48,73.97,15.5,Low,3,7.6
Female,22,87.32,53.96,57.7,77.2,62.36,4.66,61.48,9.6,Low,10,5.3
Female,19,96.38,79.74,43.24,57.48,99.18,9.23,89.77,27.7,Medium,8,7
Male,24,82.34,70.06,71.25,89.34,62.66,9.91,96.97,18.8,High,6,6.8
Female,21,98.51,79.54,89,65.39,51.19,1.91,71.59,25.2,Low,7,6.6
Male,23,67.23,81.16,91.08,61.13,75.62,8.71,95.88,7.6,Medium,2,4.6
Female,20,67.5,41.34,54.13,73.53,68.85,1.46,94.13,29.3,Low,1,6.4
Female,18,77.15,43.24,75.98,96.13,63.07,8.41,58.3,25.2,Low,1,6.8
Male,21,69.18,71.96,91.35,64.87,81.73,2.77,58.67,12.2,Medium,3,8.6
Male,20,50.07,51.46,64.52,95.28,68.21,9.6,73.87,5.5,Medium,7,6.3
Female,21,,77.95,95.93,52.68,70.11,6.95,76.29,9.1,Low,9,7.2
Male,24,87.59,73.13,94.18,54.18,51.15,3.99,67.06,15.5,High,2,6.8
Female,20,87.35,75.15,52.49,84.93,79.45,2.81,65.65,5.1,Medium,6,5
Female,24,67.25,58.15,55.54,59.53,56.1,2.35,71.57,6,Medium,8,4.9
Male,20,76.11,78.39,50.83,65.83,60.69,6.81,84.52,7.5,Medium,9,7.7
Male,21,68,89.77,51.76,56.82,85.86,8.96,54.22,25.2,Low,10,6.6
Male,19,50.8,99.88,94.47,66.61,65.66,7.55,85.53,18.7,High,3,8.5
Male,21,78.12,90.31,95.87,64.02,58.16,8.35,96.31,9.8,Medium,5,8.5
Female,24,56.19,73.45,43.11,86.82,78.87,7.81,88.18,11.6,High,5,5.5
Male,21,54,51.61,75.62,85.1,60.75,9.79,59.58,21.1,Low,8,4.5
Male,20,87.77,80.89,73.85,97.75,63.55,7.58,54.37,13,High,1,5.7
Male,18,50.48,96.26,63.43,86.22,81.07,2.1,74.52,22.1,Low,3,4.3
Male,20,97.95,52.71,77.9,84.74,86.99,7.92,97.82,24.5,Low,6,7.9
Male,22,75.76,55.36,96.84,84.71,86.98,3.22,90.95,12.7,Low,6,4.7
